Post_ID,Category,Title,Content,Author,Tags,Likes,Comments,CreatedDate,Status
P001,Announcement,International Yoga Day Highlights,"International Yoga Day Highlights - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,announcement,51,4,01-07-2026,Published
P002,Announcement,New Meditation Workshop,"New Meditation Workshop - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,announcement,52,5,02-07-2026,Published
P003,Announcement,Ayurveda Webinar,"Ayurveda Webinar - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,announcement,53,6,03-07-2026,Published
P004,Announcement,Volunteer Registration,"Volunteer Registration - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,announcement,54,7,04-07-2026,Published
P005,Announcement,Community Guidelines Update,"Community Guidelines Update - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.", coach ashish,announcement,55,8,05-07-2026,Published
P006,Announcement,New Mentor Joined,"New Mentor Joined - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,announcement,56,9,06-07-2026,Published
P007,Announcement,Research Library Expanded,"Research Library Expanded - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,announcement,57,10,07-07-2026,Published
P008,Announcement,Weekend Wellness Camp,"Weekend Wellness Camp - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,announcement,58,11,08-07-2026,Published
P009,Announcement,Monthly Newsletter,"Monthly Newsletter - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,announcement,59,12,09-07-2026,Published
P010,Announcement,Live Q&A Session,"Live Q&A Session - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,announcement,60,13,10-07-2026,Published
P011,Announcement,Scholarship Announcement,"Scholarship Announcement - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,announcement,61,14,11-07-2026,Published
P012,Announcement,Event Schedule,"Event Schedule - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,announcement,62,15,12-07-2026,Published
P013,Announcement,App Feature Update,"App Feature Update - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,announcement,63,16,13-07-2026,Published
P014,Announcement,Breathing Challenge,"Breathing Challenge - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,announcement,64,17,14-07-2026,Published
P015,Announcement,Teacher Training Info,"Teacher Training Info - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,announcement,65,18,15-07-2026,Published
P016,Announcement,Book Club Launch,"Book Club Launch - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,announcement,66,19,16-07-2026,Published
P017,Announcement,Nutrition Session,"Nutrition Session - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,announcement,67,3,17-07-2026,Published
P018,Announcement,Festival Greetings,"Festival Greetings - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,announcement,68,4,18-07-2026,Published
P019,Announcement,Campus Yoga Drive,"Campus Yoga Drive - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.", Dr. usha jaiswal,announcement,69,5,19-07-2026,Published
P020,Announcement,Women Wellness Circle,"Women Wellness Circle - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,announcement,70,6,20-07-2026,Published
P021,Announcement,Senior Citizen Program,"Senior Citizen Program - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,announcement,71,7,21-07-2026,Published
P022,Announcement,Mindfulness Week,"Mindfulness Week - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,announcement,72,8,22-07-2026,Published
P023,Announcement,Resource Upload,"Resource Upload - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,announcement,73,9,23-07-2026,Published
P024,Announcement,Feedback Request,"Feedback Request - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,announcement,74,10,24-07-2026,Published
P025,Announcement,Certificate Distribution,"Certificate Distribution - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,announcement,75,11,25-07-2026,Published
P026,Discussion,How has yoga changed your life?,"How has yoga changed your life? - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,discussion,76,12,01-07-2026,Published
P027,Discussion,Best time for meditation?,"Best time for meditation? - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,discussion,77,13,02-07-2026,Published
P028,Discussion,Favorite breathing technique?,"Favorite breathing technique? - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,discussion,78,14,03-07-2026,Published
P029,Discussion,Balancing study and wellness,"Balancing study and wellness - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,discussion,79,15,04-07-2026,Published
P030,Discussion,Healthy morning routine,"Healthy morning routine - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,discussion,80,16,05-07-2026,Published
P031,Discussion,Managing stress naturally,"Managing stress naturally - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,discussion,81,17,06-07-2026,Published
P032,Discussion,Benefits of journaling,"Benefits of journaling - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,discussion,82,18,07-07-2026,Published
P033,Discussion,Your favorite yoga book,"Your favorite yoga book - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,discussion,83,19,08-07-2026,Published
P034,Discussion,Screen time reduction,"Screen time reduction - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,discussion,84,3,09-07-2026,Published
P035,Discussion,Sleep improvement tips,"Sleep improvement tips - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,discussion,85,4,10-07-2026,Published
P036,Discussion,How to stay consistent?,"How to stay consistent? - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,discussion,86,5,11-07-2026,Published
P037,Discussion,Best beginner pose,"Best beginner pose - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,discussion,87,6,12-07-2026,Published
P038,Discussion,Importance of gratitude,"Importance of gratitude - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,discussion,88,7,13-07-2026,Published
P039,Discussion,Community volunteering,"Community volunteering - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,discussion,89,8,14-07-2026,Published
P040,Discussion,Digital detox,"Digital detox - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,discussion,90,9,15-07-2026,Published
P041,Discussion,Role of discipline,"Role of discipline - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,discussion,91,10,16-07-2026,Published
P042,Discussion,Yoga at workplace,"Yoga at workplace - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,discussion,92,11,17-07-2026,Published
P043,Discussion,Family wellness,"Family wellness - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,discussion,93,12,18-07-2026,Published
P044,Discussion,Ayurveda experiences,"Ayurveda experiences - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,discussion,94,13,19-07-2026,Published
P045,Discussion,Mindful eating,"Mindful eating - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,discussion,95,14,20-07-2026,Published
P046,Discussion,Daily affirmations,"Daily affirmations - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,discussion,96,15,21-07-2026,Published
P047,Discussion,Music during meditation?,"Music during meditation? - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,discussion,97,16,22-07-2026,Published
P048,Discussion,Nature walks,"Nature walks - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,discussion,98,17,23-07-2026,Published
P049,Discussion,Building healthy habits,"Building healthy habits - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,discussion,99,18,24-07-2026,Published
P050,Discussion,Ask a mentor,"Ask a mentor - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,discussion,100,19,25-07-2026,Published
P051,Yoga Topic,Benefits of Surya Namaskar,"Benefits of Surya Namaskar - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,yoga_topic,101,3,01-07-2026,Published
P052,Yoga Topic,Tadasana Guide,"Tadasana Guide - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,yoga_topic,102,4,02-07-2026,Published
P053,Yoga Topic,Bhujangasana Benefits,"Bhujangasana Benefits - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,yoga_topic,103,5,03-07-2026,Published
P054,Yoga Topic,Vrikshasana Balance,"Vrikshasana Balance - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,yoga_topic,104,6,04-07-2026,Published
P055,Yoga Topic,Anulom Vilom Basics,"Anulom Vilom Basics - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,yoga_topic,105,7,05-07-2026,Published
P056,Yoga Topic,Kapalabhati Guide,"Kapalabhati Guide - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,yoga_topic,106,8,06-07-2026,Published
P057,Yoga Topic,Bhramari Practice,"Bhramari Practice - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,yoga_topic,107,9,07-07-2026,Published
P058,Yoga Topic,Child's Pose,"Child's Pose - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,yoga_topic,108,10,08-07-2026,Published
P059,Yoga Topic,Cat-Cow Stretch,"Cat-Cow Stretch - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,yoga_topic,109,11,09-07-2026,Published
P060,Yoga Topic,Mountain Pose,"Mountain Pose - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.", coach ashish,yoga_topic,110,12,10-07-2026,Published
P061,Yoga Topic,Yoga for Students,"Yoga for Students - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,yoga_topic,111,13,11-07-2026,Published
P062,Yoga Topic,Yoga for Seniors,"Yoga for Seniors - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,yoga_topic,112,14,12-07-2026,Published
P063,Yoga Topic,Chair Yoga,"Chair Yoga - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,yoga_topic,113,15,13-07-2026,Published
P064,Yoga Topic,Meditation Basics,"Meditation Basics - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,yoga_topic,114,16,14-07-2026,Published
P065,Yoga Topic,Pranayama Tips,"Pranayama Tips - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,yoga_topic,115,17,15-07-2026,Published
P066,Yoga Topic,Flexibility Training,"Flexibility Training - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,yoga_topic,116,18,16-07-2026,Published
P067,Yoga Topic,Back Pain Relief,"Back Pain Relief - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,yoga_topic,117,19,17-07-2026,Published
P068,Yoga Topic,Neck Stretch,"Neck Stretch - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,yoga_topic,118,3,18-07-2026,Published
P069,Yoga Topic,Hip Mobility,"Hip Mobility - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.", Dr. usha jaiswal,yoga_topic,119,4,19-07-2026,Published
P070,Yoga Topic,Core Strength,"Core Strength - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,yoga_topic,120,5,20-07-2026,Published
P071,Yoga Topic,Mindfulness Practice,"Mindfulness Practice - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,yoga_topic,121,6,21-07-2026,Published
P072,Yoga Topic,Relaxation Techniques,"Relaxation Techniques - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,yoga_topic,122,7,22-07-2026,Published
P073,Yoga Topic,Yoga Nidra,"Yoga Nidra - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,yoga_topic,123,8,23-07-2026,Published
P074,Yoga Topic,Sunrise Routine,"Sunrise Routine - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",,yoga_topic,124,9,24-07-2026,Published
P075,Yoga Topic,Evening Yoga,"Evening Yoga - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,yoga_topic,125,10,25-07-2026,Published
P076,Poll,Preferred Yoga Time,"Preferred Yoga Time - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,poll,126,11,01-07-2026,Published
P077,Poll,Favorite Yoga Style,"Favorite Yoga Style - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,poll,127,12,02-07-2026,Published
P078,Poll,Meditation Frequency,"Meditation Frequency - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,poll,128,13,03-07-2026,Published
P079,Poll,Workshop Format,"Workshop Format - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,poll,129,14,04-07-2026,Published
P080,Poll,Resource Preference,"Resource Preference - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,poll,130,15,05-07-2026,Published
P081,Poll,Weekend Availability,"Weekend Availability - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,poll,131,16,06-07-2026,Published
P082,Poll,Morning Routine,"Morning Routine - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,poll,132,17,07-07-2026,Published
P083,Poll,Favorite Wellness Topic,"Favorite Wellness Topic - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,poll,133,18,08-07-2026,Published
P084,Poll,Event Duration,"Event Duration - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Dr. usha jaiswal,poll,134,19,09-07-2026,Published
P085,Poll,Learning Language,"Learning Language - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,poll,135,3,10-07-2026,Published
P086,Poll,Online or Offline,"Online or Offline - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,poll,136,4,11-07-2026,Published
P087,Poll,Practice Location,"Practice Location - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,poll,137,5,12-07-2026,Published
P088,Poll,Preferred Mentor,"Preferred Mentor - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,poll,138,6,13-07-2026,Published
P089,Poll,Session Length,"Session Length - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.", Dr. usha jaiswal,poll,139,7,14-07-2026,Published
P090,Poll,Reading Habit,"Reading Habit - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,poll,140,8,15-07-2026,Published
P091,Poll,Daily Water Intake,"Daily Water Intake - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,poll,141,9,16-07-2026,Published
P092,Poll,Healthy Snack,"Healthy Snack - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,poll,142,10,17-07-2026,Published
P093,Poll,Fitness Goal,"Fitness Goal - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,poll,143,11,18-07-2026,Published
P094,Poll,Music Preference,"Music Preference - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.", Dr. usha jaiswal,poll,144,12,19-07-2026,Published
P095,Poll,Volunteer Interest,"Volunteer Interest - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,poll,145,13,20-07-2026,Published
P096,Poll,Research Topics,"Research Topics - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,poll,146,14,21-07-2026,Published
P097,Poll,Community Meetup,"Community Meetup - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,poll,147,15,22-07-2026,Published
P098,Poll,Course Difficulty,"Course Difficulty - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,poll,148,16,23-07-2026,Published
P099,Poll,Newsletter Frequency,"Newsletter Frequency - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Dr. usha jaiswal,poll,149,17,24-07-2026,Published
P100,Poll,Challenge Participation,"Challenge Participation - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,poll,150,18,25-07-2026,Published
