 yoga  research   report ,,,,,,
,,,,,,
 , TITLE , DESCRIPTION , TYPE , AUTHOR,SOURCE , LINK
,PRAGYA YOG, RESEARCH  ABOUT PRAGYA  YOG,RESEARCH  ARTICLES ,KAMAKHYA KUMAR D. LITT, RESEARCH  GATE,https://drive.google.com/file/d/1aJwfw17akMKxUBbzycbHVNDhICfrWbSs/view?usp=drive_link
,PRAGYA YOG RESEARCH,Effect of Pragya Yoga and Pranakarshana Pranayama on Self-Concept,RESEARCH   REPORT ,SUNIL DESH MUKH, RESEARCH  GATE,https://drive.google.com/file/d/1A5-rfm5Zz0AaposBtV6BFyua85ORMxXA/view?usp=sharing
,ORIGINAL RESEARCH ARTICLE,THE IMPACT OF PRAGYA  YOG,ORIGINAL RESEARCH ,Mahima Yadav Amrita Sharma Indu Sharma+,DEV SANSKRITI - Interdisciplinary International Journal,https://drive.google.com/file/d/1KMTriSbiMF0HgYWmVqVvzQqwN1q10T6c/view?usp=sharing
,PRAGYA YOG VIDEO ,PRAGYA YOG FOR HEALTHY  LIFE ,VIDEO ,AWGP,AWGP,https://youtu.be/Y5Aos-QQHVE?si=NZG0tnOVx-pNl-zK
, SURYA  NAMASKAR,12 STEPS FULL BODY WORKOUT,VIDEO ,APARJITA JAMWAL,MIND BODY SOUL,https://youtu.be/1xRX1MuoImw?si=gYnokPij6EenigRE
,BHUJANGASAN,COBRA POSE BACK STRENGTH ,VIDEO ,GEETANJALI,GEETANJALI YOGA,https://youtu.be/UYDTHxVh2EE?si=iQ1dJQuYlsTSfE3w
,TADASAN,MOUNTAIN  POISE ,VIDEO , SWAMI RAMDEV, SWAMI RAMDEV,https://youtu.be/t4EFxQDhA8A?si=Y7eoezRkDaEjqnlQ
,TRICONASAN,TRIANGLE  POSE,VIDEO,-, MINISTRY of  AYUSH,https://youtu.be/Kh_tTk5_EGk?si=dLR-nno7uDQ8NpVA
,Vrikshasana (Tree Pose),"Enhances balance, concentration, and leg strength.",VIDEO , RAM DEV JI, SWAMI RAMDEV, https://youtu.be/A-2d04ON9hA?si=4SnCo_16zXYf3LHw
,Pavanamuktasana (Wind-Relieving Pose),"Helps relieve gas, improves digestion, and strengthens the lower back.",VIDEO , RAM DEV JI, SWAMI RAMDEV,https://youtu.be/ZKvGqNE7oe4?si=2JlD0S1A_rFp8syY
,Setu Bandhasana (Bridge Pose),"Strengthens the back, hips, and improves blood circulation.",VIDEO , RAM DEV JI, SWAMI RAMDEV,https://youtu.be/0UOsDyM4UqA?si=csyxu7UMdnbrG-KH
, Dhanurasana (Bow Pose),Improves spinal flexibility and strengthens abdominal muscles.,VIDEO , SWAMI RAMDEV, SWAMI RAMDEV,https://youtu.be/BXIXv2q2mXQ?si=XzCgQ06NFHKVU7Ve
,,,,,,
,,,,,,
,, Ayurveda research  report ,,,,
,,,,,,
,title ,description ,type ,link ,AUTHOR ,
,"1. Integrative Therapy based on Yoga, Ayurveda and Modern Western Medicine for Treatment of High-risk Cases of COVID-19: A Telemedicine-Based Case Series","This research explores the effectiveness of an integrative treatment model combining Yoga, Ayurveda, and modern Western medicine for managing high-risk COVID-19 patients through telemedicine. The study highlights improvements in patient recovery and demonstrates the potential of integrative healthcare approaches.",PAPER RESEARCH,http://op.niscair.res.in/index.php/IJTK/article/view/55516,"Bentur S.A., Mishra A., Kumar Y., Thakral S., Garg R.",
,2. Exploring the Science of Marma – An Ancient Healing Technique: Marma in Yoga and Other Ancient Indian Traditions,"This research explores the effectiveness of an integrative treatment model combining Yoga, Ayurveda, and modern Western medicine for managing high-risk COVID-19 patients through telemedicine. The study highlights improvements in patient recovery and demonstrates the potential of integrative healthcare approaches.",RESEARCH   paper ,http://op.niscair.res.in/index.php/IJTK/article/view/55516,"Mishra A., Shrivastava V.",
,3. Exploring the Science of Marma – An Ancient Healing Technique: Definition and Properties of Marma,"The study explains the definition, characteristics, and therapeutic importance of Marma points in Ayurveda, providing a scientific perspective on this traditional healing system.",RESEARCH   paper ,https://doi.org/10.36018/dsiij.v18i.155,"Mishra A., Shrivastava V.",
,,ABOUT AURVEDA,VIDEO,https://youtu.be/Nv3DH_94H2U?si=jTAg0ci6V4vWQSIm,,
,MARMA  THERAPY ,ABOUT MARMA THEREPY,RESEARCH  PAPER,https://drive.google.com/file/d/1nVr3zanD93TNYxNWG_fBMdztV2jJLwBW/view?usp=sharing,DSVV    AURVEDA        DEPARTMENT,
,Introduction to Ayurveda and its holistic healing philosophy.,"This article explains the origin of Ayurveda, the concept of Vata, Pitta, and Kapha doshas, and how Ayurveda focuses on balancing the body, mind, and spirit for overall wellness.",ARTICAL ,https://www.nccih.nih.gov/health/ayurvedic-medicine-in-depth,,
,Ayurveda: The Science of Life,"The article discusses how Ayurveda uses diet, herbs, daily routines, and preventive care to maintain health and prevent disease.",ARTICAL ,https://www.hopkinsmedicine.org/health/wellness-and-prevention/ayurveda,,
,"

Ayurveda and Wellness","This article highlights the benefits of Ayurvedic practices for digestion, immunity, stress management, and healthy living.",ARTICAL ,https://www.verywellhealth.com/what-is-ayurveda-5205301,,
,,,,,,
,,,,,,
,,,,,,
,meditation  research  report ,,,,,
,title ,,,,,
,,description ,type , SOURCE,LINK,
,NAAD YOG, BENIFIT OF NAAD YOG, ARTICAL,AWGP,https://www.awgp.org/en/literature/book/gayatri_yog/v1.28,
,What Is Meditation?,"Explains meditation, its history, benefits, and how to get started.", ARTICAL,Cleveland Clinic,https://my.clevelandclinic.org/health/articles/17906-meditation?,
,Meditation Articles,"Collection of articles on meditation, mindfulness, and stress relief.", ARTICAL,HEADSPACE,https://www.headspace.com/articles/meditation?origin=navigation&utm_ ,
,What Is Meditation?,Beginner-friendly guide to meditation techniques and benefits., ARTICAL,HEADSPACE,https://www.headspace.com/articles/meditation?utm_,
, Online Guided Meditation,Guided meditation sessions for relaxation and inner peace., ARTICAL,ART OF LIVING,https://www.artofliving.org/triveni-ashram/meditation/online-guided-meditation?utm_,
,Meditation for Sleep & Relaxation,Guided meditation practices for better sleep and stress reduction., ARTICAL,ART OF LIVING,https://www.artofliving.org/cw-nl/meditation/online-guided-meditation?utm_,
,Types of Meditation,"Overview of mindfulness, mantra, loving-kindness, and visualization meditation.", ARTICAL,VERY WELLHEALTH,https://www.verywellhealth.com/types-of-meditation-8656595?utm_,
,Daily Meditation Benefits,"Explains how daily meditation improves focus, emotional balance, and well-being.", ARTICAL,,https://www.headspace.com/articles/meditation?origin=navigation&utm_,
,How to Relax Through Meditation,Practical meditation techniques for reducing stress., ARTICAL,,https://www.headspace.com/articles/meditation?utm_,
,How to Start Meditating,Step-by-step beginner's guide to building a meditation habit., ARTICAL,,https://www.theguardian.com/wellness/2025/jan/02/how-to-start-meditating?utm_,
, Meditation and Brain Health,Discusses how meditation changes brain activity and improves focus., ARTICAL,,https://www.wsj.com/health/wellness/meditation-never-worked-for-me-so-i-had-harvard-researchers-scan-my-brain-77180ef7?utm_,
,NAAD YOG,FOR  MEDITATION ,VIDEO ,AWGP,https://youtu.be/vyDr-evzOlQ?si=emgU3CpoMPe4V3y0,